Date,Occupancy,Temp_C,Energy_kWh,Cost_CAD
2015-03-01,89,-4.5,5171.19,775.68
2015-03-02,67,-14.0,5512.16,826.82
2015-03-03,72,-1.2,4661.68,699.25
2015-03-04,60,-5.8,4616.49,692.47
2015-03-05,60,8.0,4113.67,617.05
2015-03-06,87,4.4,4664.8,699.72
2015-03-07,95,-5.3,5166.24,774.94
2015-03-08,74,-4.8,4856.23,728.43
2015-03-09,90,-0.3,4590.08,688.51
2015-03-10,81,2.8,4716.54,707.48
2015-03-11,66,-10.4,5376.92,806.54
2015-03-12,82,-10.8,5336.41,800.46
2015-03-13,100,-5.9,5328.38,799.26
2015-03-14,76,-0.9,4844.66,726.7
2015-03-15,101,-1.0,5086.77,763.02
2015-03-16,60,1.5,4623.63,693.54
2015-03-17,90,-7.4,5256.81,788.52
2015-03-18,80,-11.6,5236.52,785.48
2015-03-19,74,1.3,4519.46,677.92
2015-03-20,81,-5.2,4968.15,745.22
2015-03-21,60,-9.7,5035.84,755.38
2015-03-22,77,-0.9,4719.68,707.95
2015-03-23,86,2.0,4781.24,717.19
2015-03-24,104,-1.4,5142.71,771.41
2015-03-25,74,-2.5,4936.12,740.42
2015-03-26,71,-1.1,4907.05,736.06
2015-03-27,76,-1.7,4805.43,720.82
2015-03-28,98,-5.3,4992.95,748.94
2015-03-29,90,-2.5,4927.66,739.15
2015-03-30,78,2.7,4625.75,693.86
2015-03-31,94,2.1,4535.76,680.36
2015-04-01,89,1.8,4982.51,747.38
2015-04-02,103,-2.6,5139.76,770.96
2015-04-03,78,0.9,4754.35,713.15
2015-04-04,85,-6.8,5322.27,798.34
2015-04-05,85,2.9,4586.4,687.96
2015-04-06,70,8.2,4371.84,655.78
2015-04-07,97,-3.1,5062.57,759.39
2015-04-08,97,0.7,4878.74,731.81
2015-04-09,94,4.7,4581.41,687.21
2015-04-10,92,8.6,4746.81,712.02
2015-04-11,75,2.1,4555.25,683.29
2015-04-12,91,1.4,4915.25,737.29
2015-04-13,93,-3.4,4766.64,715.0
2015-04-14,87,5.2,4775.55,716.33
2015-04-15,98,13.3,4509.54,676.43
2015-04-16,108,6.5,4775.53,716.33
2015-04-17,131,5.6,5008.79,751.32
2015-04-18,106,7.3,4764.78,714.72
2015-04-19,109,6.3,5125.95,768.89
2015-04-20,105,3.4,4606.82,691.02
2015-04-21,79,10.2,4407.36,661.1
2015-04-22,108,8.1,4551.61,682.74
2015-04-23,111,7.6,4740.54,711.08
2015-04-24,148,3.9,5259.75,788.96
2015-04-25,109,13.4,4399.13,659.87
2015-04-26,118,11.1,4657.42,698.61
2015-04-27,114,6.5,4652.13,697.82
2015-04-28,99,13.1,4525.36,678.8
2015-04-29,135,7.4,4735.82,710.37
2015-04-30,130,6.6,5070.67,760.6
2015-05-01,132,7.0,4943.77,741.56
2015-05-02,108,3.2,4733.21,709.98
2015-05-03,144,12.5,4899.6,734.94
2015-05-04,103,3.6,4605.75,690.86
2015-05-05,134,6.3,5048.35,757.25
2015-05-06,160,3.2,5240.54,786.08
2015-05-07,114,11.5,4668.17,700.23
2015-05-08,121,11.6,4531.54,679.73
2015-05-09,133,11.2,4746.46,711.97
2015-05-10,125,8.6,4889.27,733.39
2015-05-11,111,8.4,4591.87,688.78
2015-05-12,137,15.2,4663.76,699.56
2015-05-13,121,11.5,4446.39,666.96
2015-05-14,146,15.3,4860.93,729.14
2015-05-15,126,10.8,5023.76,753.56
2015-05-16,165,15.3,5381.9,807.29
2015-05-17,131,20.1,4589.18,688.38
2015-05-18,140,17.5,4788.23,718.23
2015-05-19,158,13.8,4689.15,703.37
2015-05-20,129,16.8,4779.91,716.99
2015-05-21,152,15.1,4952.36,742.85
2015-05-22,170,16.4,4912.41,736.86
2015-05-23,128,15.4,4758.71,713.81
2015-05-24,156,16.3,4799.83,719.97
2015-05-25,159,18.1,4800.8,720.12
2015-05-26,168,13.5,5146.18,771.93
2015-05-27,140,13.7,4612.81,691.92
2015-05-28,140,12.5,4980.12,747.02
2015-05-29,169,11.9,4998.67,749.8
2015-05-30,167,13.7,4897.33,734.6
2015-05-31,168,19.5,4827.55,724.13
2015-06-01,171,15.6,5128.1,769.22
2015-06-02,157,21.5,4755.98,713.4
2015-06-03,173,19.8,4814.3,722.15
2015-06-04,175,12.1,5123.51,768.53
2015-06-05,162,22.8,4896.19,734.43
2015-06-06,202,23.7,5196.17,779.43
2015-06-07,182,16.7,4938.25,740.74
2015-06-08,159,22.6,5186.19,777.93
2015-06-09,188,17.8,5044.92,756.74
2015-06-10,165,21.8,4884.04,732.61
2015-06-11,193,16.6,5171.41,775.71
2015-06-12,200,14.7,5293.63,794.04
2015-06-13,172,20.6,5099.2,764.88
2015-06-14,200,21.9,5442.22,816.33
2015-06-15,194,21.0,5191.11,778.67
2015-06-16,201,18.1,5125.03,768.75
2015-06-17,219,21.4,5690.67,853.6
2015-06-18,188,24.3,5258.3,788.75
2015-06-19,182,23.3,5390.49,808.57
2015-06-20,182,24.4,4877.63,731.64
2015-06-21,184,21.2,5161.31,774.2
2015-06-22,197,28.7,5986.21,897.93
2015-06-23,204,19.5,5289.01,793.35
2015-06-24,205,26.4,5571.78,835.77
2015-06-25,214,29.3,5966.47,894.97
2015-06-26,204,26.7,5536.45,830.47
2015-06-27,227,24.2,5623.01,843.45
2015-06-28,202,23.0,5271.67,790.75
2015-06-29,248,29.4,6192.97,928.94
2015-06-30,218,19.8,5673.33,851.0
2015-07-01,197,21.7,5337.66,800.65
2015-07-02,196,24.2,5383.78,807.57
2015-07-03,220,30.9,6221.07,933.16
2015-07-04,211,27.6,5718.95,857.84
2015-07-05,226,22.3,5456.87,818.53
2015-07-06,224,25.1,5617.98,842.7
2015-07-07,217,24.0,5553.54,833.03
2015-07-08,207,23.7,5269.99,790.5
2015-07-09,198,30.6,5774.81,866.22
2015-07-10,215,21.3,5380.08,807.01
2015-07-11,236,33.4,6773.12,1015.97
2015-07-12,227,30.3,5717.45,857.62
2015-07-13,207,31.5,5982.74,897.41
2015-07-14,229,25.4,6040.39,906.06
2015-07-15,233,26.7,5942.32,891.35
2015-07-16,215,21.7,5570.51,835.58
2015-07-17,232,25.4,5828.16,874.22
2015-07-18,232,29.5,6024.03,903.6
2015-07-19,215,32.8,5855.13,878.27
2015-07-20,238,23.2,5747.44,862.12
2015-07-21,242,26.3,5869.05,880.36
2015-07-22,251,27.2,6027.98,904.2
2015-07-23,251,22.2,5760.65,864.1
2015-07-24,216,30.2,6271.63,940.75
2015-07-25,223,25.0,6052.22,907.83
2015-07-26,246,27.1,6126.45,918.97
2015-07-27,247,26.1,5959.59,893.94
2015-07-28,248,24.8,5763.5,864.53
2015-07-29,294,28.0,6729.16,1009.37
2015-07-30,250,27.1,6402.44,960.37
2015-07-31,260,26.5,6156.33,923.45
2015-08-01,258,25.1,5708.5,856.27
2015-08-02,254,29.3,6437.75,965.66
2015-08-03,240,34.6,6737.38,1010.61
2015-08-04,257,28.5,6074.78,911.22
2015-08-05,235,31.9,6363.3,954.49
2015-08-06,243,22.4,5819.18,872.88
2015-08-07,240,28.5,6122.26,918.34
2015-08-08,249,23.5,5729.68,859.45
2015-08-09,283,21.9,6323.89,948.58
2015-08-10,221,24.8,5594.21,839.13
2015-08-11,260,32.5,6416.74,962.51
2015-08-12,226,31.4,5898.06,884.71
2015-08-13,243,28.5,6356.14,953.42
2015-08-14,267,21.4,6096.0,914.4
2015-08-15,252,26.6,6132.03,919.8
2015-08-16,236,28.5,6028.15,904.22
2015-08-17,241,28.0,6023.08,903.46
2015-08-18,263,19.8,5800.14,870.02
2015-08-19,242,23.5,5714.47,857.17
2015-08-20,256,26.7,5848.49,877.27
2015-08-21,254,29.0,6207.27,931.09
2015-08-22,244,18.0,5715.36,857.3
2015-08-23,286,26.0,6518.64,977.8
2015-08-24,263,27.1,6262.16,939.32
2015-08-25,224,29.8,6180.44,927.07
2015-08-26,257,29.0,6553.26,982.99
2015-08-27,244,28.5,6329.88,949.48
2015-08-28,267,22.8,6074.08,911.11
2015-08-29,243,18.2,5753.28,862.99
2015-08-30,253,24.1,5793.27,868.99
2015-08-31,262,29.5,6552.72,982.91
2015-09-01,267,31.0,6851.83,1027.78
2015-09-02,236,28.1,6108.57,916.29
2015-09-03,249,26.8,6384.39,957.66
2015-09-04,247,26.4,5819.13,872.87
2015-09-05,244,22.5,5588.88,838.33
2015-09-06,280,24.0,6343.01,951.45
2015-09-07,260,31.0,6570.21,985.53
2015-09-08,235,20.4,5864.57,879.69
2015-09-09,267,30.4,6556.71,983.51
2015-09-10,285,22.5,6062.3,909.35
2015-09-11,268,28.8,6420.69,963.1
2015-09-12,230,17.7,5385.1,807.76
2015-09-13,245,25.5,5788.89,868.33
2015-09-14,271,20.0,6191.37,928.7
2015-09-15,241,17.0,5861.42,879.21
2015-09-16,257,23.4,5979.44,896.92
2015-09-17,262,26.3,5939.72,890.96
2015-09-18,236,18.6,5624.24,843.64
2015-09-19,248,15.8,5629.4,844.41
2015-09-20,200,21.2,5476.48,821.47
2015-09-21,233,21.0,5558.94,833.84
2015-09-22,244,23.3,5619.27,842.89
2015-09-23,228,24.6,5720.54,858.08
2015-09-24,271,20.3,5949.48,892.42
2015-09-25,224,27.7,6130.81,919.62
2015-09-26,239,21.0,5599.28,839.89
2015-09-27,246,18.4,5573.12,835.97
2015-09-28,265,13.1,5789.75,868.46
2015-09-29,221,18.2,5515.88,827.38
2015-09-30,260,17.7,5845.71,876.86
2015-10-01,242,22.6,5526.66,829.0
2015-10-02,226,20.3,5751.38,862.71
2015-10-03,247,13.5,6006.59,900.99
2015-10-04,242,18.6,5736.77,860.52
2015-10-05,229,20.3,5809.15,871.37
2015-10-06,238,23.5,5834.42,875.16
2015-10-07,230,20.6,5491.57,823.74
2015-10-08,237,19.8,5532.62,829.89
2015-10-09,244,16.8,5884.7,882.7
2015-10-10,257,17.8,5957.96,893.69
2015-10-11,214,20.9,5472.46,820.87
2015-10-12,263,10.3,6090.81,913.62
2015-10-13,201,13.9,5494.25,824.14
2015-10-14,227,12.0,5652.25,847.84
2015-10-15,237,16.3,5673.2,850.98
2015-10-16,231,19.4,5842.54,876.38
2015-10-17,216,11.8,5559.78,833.97
2015-10-18,222,4.3,5822.35,873.35
2015-10-19,216,11.9,5495.01,824.25
2015-10-20,213,16.9,5585.64,837.85
2015-10-21,234,15.1,5736.56,860.48
2015-10-22,225,14.3,5618.0,842.7
2015-10-23,208,11.2,5523.75,828.56
2015-10-24,231,6.9,6108.09,916.21
2015-10-25,221,13.8,5493.81,824.07
2015-10-26,227,8.1,5986.84,898.03
2015-10-27,223,19.8,5431.81,814.77
2015-10-28,200,13.1,5297.81,794.67
2015-10-29,203,8.1,5589.48,838.42
2015-10-30,221,7.7,5837.27,875.59
2015-10-31,217,9.5,5764.88,864.73
2015-11-01,207,8.6,5742.84,861.43
2015-11-02,207,13.7,4924.06,738.61
2015-11-03,223,9.7,5705.57,855.84
2015-11-04,194,5.7,5642.64,846.4
2015-11-05,210,15.9,5637.05,845.56
2015-11-06,197,8.2,5458.07,818.71
2015-11-07,195,10.8,5507.81,826.17
2015-11-08,214,4.9,6168.83,925.32
2015-11-09,208,8.5,5523.57,828.54
2015-11-10,206,8.0,5781.71,867.26
2015-11-11,212,-1.1,6075.1,911.27
2015-11-12,192,14.2,5220.51,783.08
2015-11-13,200,11.0,5403.76,810.56
2015-11-14,184,4.0,5563.8,834.57
2015-11-15,192,0.8,6306.26,945.94
2015-11-16,183,6.3,5682.59,852.39
2015-11-17,185,5.0,5802.49,870.37
2015-11-18,191,5.8,5738.9,860.83
2015-11-19,168,4.8,5225.4,783.81
2015-11-20,211,5.8,5933.57,890.03
2015-11-21,163,9.3,5374.91,806.24
2015-11-22,158,5.5,5204.67,780.7
2015-11-23,192,-1.3,6138.55,920.78
2015-11-24,185,8.1,5604.47,840.67
2015-11-25,181,8.9,5697.25,854.59
2015-11-26,179,14.7,5076.28,761.44
2015-11-27,168,-2.7,5640.87,846.13
2015-11-28,153,2.5,5360.18,804.03
2015-11-29,166,-7.1,6196.99,929.55
2015-11-30,154,3.2,5119.18,767.88
2015-12-01,177,-1.5,5534.93,830.24
2015-12-02,158,8.1,5226.08,783.91
2015-12-03,147,-2.9,5528.19,829.23
2015-12-04,153,-6.8,5834.98,875.25
2015-12-05,162,-2.2,5862.38,879.36
2015-12-06,146,-8.5,5751.81,862.77
2015-12-07,141,2.2,5021.67,753.25
2015-12-08,155,-9.3,6274.27,941.14
2015-12-09,154,-1.2,5441.59,816.24
2015-12-10,141,-9.9,5685.71,852.86
2015-12-11,140,-3.1,5693.89,854.08
2015-12-12,149,4.5,5222.15,783.32
2015-12-13,122,-0.8,5228.0,784.2
2015-12-14,121,-5.9,5529.91,829.49
2015-12-15,130,-2.8,5574.68,836.2
2015-12-16,136,-2.8,5426.06,813.91
2015-12-17,142,-1.2,5694.86,854.23
2015-12-18,158,-8.8,5655.05,848.26
2015-12-19,148,-1.2,5640.97,846.14
2015-12-20,131,-14.6,5825.11,873.77
2015-12-21,132,-6.5,5802.88,870.43
2015-12-22,115,-6.1,5423.07,813.46
2015-12-23,129,-1.8,5254.47,788.17
2015-12-24,123,-4.4,5510.1,826.52
2015-12-25,131,-10.3,5893.88,884.08
2015-12-26,112,-8.8,5588.93,838.34
2015-12-27,131,-4.3,5332.38,799.86
2015-12-28,145,-5.5,5618.78,842.82
2015-12-29,119,-7.7,5515.13,827.27
2015-12-30,125,-7.5,5562.01,834.3
2015-12-31,128,-2.9,5507.23,826.09
2016-01-01,111,-7.9,5139.26,770.89
2016-01-02,119,-6.3,5504.83,825.72
2016-01-03,114,2.6,4958.54,743.78
2016-01-04,114,-12.0,5529.21,829.38
2016-01-05,100,-13.8,5479.55,821.93
2016-01-06,111,-3.4,5205.52,780.83
2016-01-07,117,-9.4,5029.17,754.38
2016-01-08,130,-8.0,5540.98,831.15
2016-01-09,121,-10.0,5508.61,826.29
2016-01-10,138,-8.0,5809.32,871.4
2016-01-11,93,-0.7,4806.11,720.92
2016-01-12,116,-4.0,5283.83,792.57
2016-01-13,105,-3.8,5425.2,813.78
2016-01-14,134,-13.0,6061.48,909.22
2016-01-15,88,-12.0,5520.58,828.09
2016-01-16,86,-18.9,5596.47,839.47
2016-01-17,89,-10.8,5422.21,813.33
2016-01-18,65,-3.8,4738.7,710.8
2016-01-19,88,-5.6,5067.71,760.16
2016-01-20,83,-8.6,5241.44,786.22
2016-01-21,96,-7.9,5193.29,778.99
2016-01-22,98,-10.6,5649.75,847.46
2016-01-23,120,-7.1,5473.66,821.05
2016-01-24,105,-4.8,5333.43,800.01
2016-01-25,81,-14.4,5636.99,845.55
2016-01-26,76,-6.8,5177.12,776.57
2016-01-27,96,-4.3,4907.92,736.19
2016-01-28,68,-9.7,5135.08,770.26
2016-01-29,114,-5.2,5478.41,821.76
2016-01-30,104,3.3,4999.13,749.87
2016-01-31,78,-8.4,4950.6,742.59
2016-02-01,60,-6.4,4740.04,711.01
2016-02-02,104,-10.9,5652.77,847.92
2016-02-03,81,-7.2,4981.44,747.22
2016-02-04,101,-6.1,5209.39,781.41
2016-02-05,60,-7.1,5106.63,765.99
2016-02-06,72,-11.9,5206.08,780.91
2016-02-07,81,-7.0,4976.18,746.43
2016-02-08,81,-1.9,4725.42,708.81
2016-02-09,73,-5.9,5003.08,750.46
2016-02-10,88,-3.8,4815.73,722.36
2016-02-11,63,-8.5,4929.12,739.37
2016-02-12,76,-4.5,4972.02,745.8
2016-02-13,80,-6.3,5240.36,786.05
2016-02-14,85,-11.2,5416.05,812.41
2016-02-15,88,-6.0,5008.07,751.21
2016-02-16,60,-11.2,5229.82,784.47
2016-02-17,60,-9.7,4939.35,740.9
2016-02-18,95,-6.3,5014.0,752.1
2016-02-19,81,-5.7,5002.47,750.37
2016-02-20,64,-11.6,5328.2,799.23
2016-02-21,99,-2.5,5095.88,764.38
2016-02-22,77,-4.3,4923.4,738.51
2016-02-23,93,-9.3,5559.38,833.91
2016-02-24,76,-12.5,5064.74,759.71
2016-02-25,106,-6.8,5144.94,771.74
2016-02-26,101,-7.8,5090.9,763.63
2016-02-27,71,-5.5,4967.13,745.07
2016-02-28,89,-7.2,5204.31,780.65
2016-02-29,84,-13.6,5647.39,847.11
2016-03-01,95,-7.0,5269.52,790.43
2016-03-02,60,-6.5,4782.74,717.41
2016-03-03,85,-2.6,4929.61,739.44
2016-03-04,91,-7.8,5242.08,786.31
2016-03-05,60,1.9,4212.47,631.87
2016-03-06,60,-12.3,5507.99,826.2
2016-03-07,60,0.8,4591.07,688.66
2016-03-08,71,-5.1,4928.04,739.21
2016-03-09,86,-0.6,4942.59,741.39
2016-03-10,98,-3.5,5214.27,782.14
2016-03-11,77,0.9,4666.52,699.98
2016-03-12,101,-5.0,5110.59,766.59
2016-03-13,60,-7.6,4983.36,747.5
2016-03-14,60,2.7,4488.32,673.25
2016-03-15,77,-3.3,4753.88,713.08
2016-03-16,84,-1.7,5091.54,763.73
2016-03-17,78,2.6,4667.26,700.09
2016-03-18,60,-6.3,4941.52,741.23
2016-03-19,78,0.5,4926.52,738.98
2016-03-20,60,-4.0,4734.85,710.23
2016-03-21,90,-2.0,5001.03,750.16
2016-03-22,87,-0.9,4995.85,749.38
2016-03-23,68,-7.0,4838.18,725.73
2016-03-24,75,-3.8,4887.53,733.13
2016-03-25,67,4.9,4419.59,662.94
2016-03-26,83,3.3,4497.61,674.64
2016-03-27,99,-0.2,5315.89,797.38
2016-03-28,70,1.3,4385.93,657.89
2016-03-29,93,-0.6,4728.71,709.31
2016-03-30,78,6.3,4653.97,698.1
2016-03-31,75,0.3,4800.51,720.08
2016-04-01,86,2.3,4565.15,684.77
2016-04-02,73,6.2,4496.78,674.52
2016-04-03,81,-1.2,5043.67,756.55
2016-04-04,73,8.4,4301.93,645.29
2016-04-05,121,-3.6,5743.73,861.56
2016-04-06,93,9.3,4219.76,632.96
2016-04-07,83,1.6,4825.04,723.76
2016-04-08,97,2.4,5006.64,751.0
2016-04-09,94,-3.9,5217.38,782.61
2016-04-10,93,2.1,4771.1,715.67
2016-04-11,106,0.1,4986.83,748.02
2016-04-12,110,2.1,5047.98,757.2
2016-04-13,91,4.3,4806.25,720.94
2016-04-14,92,8.9,4574.25,686.14
2016-04-15,97,6.2,4813.98,722.1
2016-04-16,68,6.9,4169.11,625.37
2016-04-17,81,1.6,4663.28,699.49
2016-04-18,125,2.8,4966.17,744.93
2016-04-19,131,13.8,4616.28,692.44
2016-04-20,104,4.0,4985.37,747.81
2016-04-21,117,13.8,4541.57,681.24
2016-04-22,114,6.6,5212.98,781.95
2016-04-23,157,7.8,5244.47,786.67
2016-04-24,129,12.4,4724.3,708.65
2016-04-25,112,13.5,4502.62,675.39
2016-04-26,100,8.3,4500.0,675.0
2016-04-27,92,7.5,4539.02,680.85
2016-04-28,120,9.2,4937.12,740.57
2016-04-29,107,11.0,4563.71,684.56
2016-04-30,99,13.6,4230.05,634.51
2016-05-01,112,10.3,4492.53,673.88
2016-05-02,107,13.1,4386.69,658.0
2016-05-03,149,17.5,4775.58,716.34
2016-05-04,139,12.8,4984.17,747.63
2016-05-05,127,12.8,4476.7,671.5
2016-05-06,151,5.8,5197.42,779.61
2016-05-07,131,1.6,5243.31,786.5
2016-05-08,118,14.0,4252.84,637.93
2016-05-09,156,12.4,4875.04,731.26
2016-05-10,142,11.0,4812.93,721.94
2016-05-11,120,14.4,4414.31,662.15
2016-05-12,134,13.5,4750.52,712.58
2016-05-13,125,18.5,4488.42,673.26
2016-05-14,119,14.6,4427.38,664.11
2016-05-15,155,11.6,5089.3,763.4
2016-05-16,172,18.9,5264.46,789.67
2016-05-17,124,14.3,4823.3,723.5
2016-05-18,154,17.6,4528.58,679.29
2016-05-19,138,13.9,4831.27,724.69
2016-05-20,142,13.5,4777.87,716.68
2016-05-21,142,16.7,4714.27,707.14
2016-05-22,139,16.7,4599.76,689.96
2016-05-23,154,18.9,4834.64,725.2
2016-05-24,143,16.2,4724.21,708.63
2016-05-25,161,10.2,5066.28,759.94
2016-05-26,158,16.1,4724.54,708.68
2016-05-27,156,21.2,4770.7,715.6
2016-05-28,148,17.2,4789.14,718.37
2016-05-29,154,17.6,4906.85,736.03
2016-05-30,176,22.8,5176.0,776.4
2016-05-31,174,16.3,4952.87,742.93
2016-06-01,153,13.3,4972.81,745.92
2016-06-02,171,19.0,5139.88,770.98
2016-06-03,182,18.0,5285.84,792.88
2016-06-04,147,16.3,4734.68,710.2
2016-06-05,182,19.8,5077.86,761.68
2016-06-06,165,22.7,4961.17,744.18
2016-06-07,185,20.9,4970.04,745.51
2016-06-08,167,22.4,4924.46,738.67
2016-06-09,153,28.7,5345.04,801.76
2016-06-10,157,20.3,4944.79,741.72
2016-06-11,184,23.0,5093.17,763.98
2016-06-12,188,20.1,5206.66,781.0
2016-06-13,172,19.0,4882.3,732.35
2016-06-14,197,20.3,5374.02,806.1
2016-06-15,164,20.9,4910.33,736.55
2016-06-16,189,24.5,5252.87,787.93
2016-06-17,174,32.6,5695.28,854.29
2016-06-18,184,20.6,5122.57,768.38
2016-06-19,196,22.0,5190.82,778.62
2016-06-20,183,23.6,5264.99,789.75
2016-06-21,192,25.6,5353.85,803.08
2016-06-22,214,25.3,5857.79,878.67
2016-06-23,192,29.6,5927.85,889.18
2016-06-24,215,14.9,5373.17,805.98
2016-06-25,187,15.2,5208.21,781.23
2016-06-26,213,23.0,5338.9,800.84
2016-06-27,228,29.5,6034.03,905.1
2016-06-28,171,19.0,5295.86,794.38
2016-06-29,197,13.4,5338.14,800.72
2016-06-30,219,27.9,5920.95,888.14
2016-07-01,209,26.7,5756.25,863.44
2016-07-02,218,21.6,5338.91,800.84
2016-07-03,205,22.1,5224.24,783.64
2016-07-04,217,22.3,5297.6,794.64
2016-07-05,214,26.8,5596.73,839.51
2016-07-06,236,23.9,5321.67,798.25
2016-07-07,223,28.6,6039.72,905.96
2016-07-08,226,15.3,5913.65,887.05
2016-07-09,216,23.4,5518.8,827.82
2016-07-10,216,22.4,5255.56,788.33
2016-07-11,218,26.0,5617.24,842.59
2016-07-12,231,25.0,5704.18,855.63
2016-07-13,220,30.4,5912.63,886.89
2016-07-14,232,19.9,5765.03,864.75
2016-07-15,260,27.6,6393.94,959.09
2016-07-16,243,29.7,6080.27,912.04
2016-07-17,226,35.0,6578.79,986.82
2016-07-18,250,25.7,6254.59,938.19
2016-07-19,227,29.0,6315.99,947.4
2016-07-20,203,20.5,5761.28,864.19
2016-07-21,220,18.2,5374.7,806.21
2016-07-22,208,31.2,6422.47,963.37
2016-07-23,231,27.8,5935.2,890.28
2016-07-24,238,32.6,6330.88,949.63
2016-07-25,264,22.4,6021.06,903.16
2016-07-26,244,30.0,6202.05,930.31
2016-07-27,237,35.4,6681.89,1002.28
2016-07-28,253,29.7,6158.39,923.76
2016-07-29,209,29.1,5816.35,872.45
2016-07-30,246,28.0,6353.39,953.01
2016-07-31,255,21.7,5868.94,880.34
2016-08-01,222,33.4,6333.3,949.99
2016-08-02,262,25.5,6212.52,931.88
2016-08-03,251,30.0,6534.63,980.19
2016-08-04,240,21.7,5471.72,820.76
2016-08-05,256,23.2,5990.23,898.53
2016-08-06,281,33.6,6906.7,1036.01
2016-08-07,251,26.5,6119.31,917.9
2016-08-08,252,33.6,6800.69,1020.1
2016-08-09,242,27.4,5894.43,884.16
2016-08-10,237,20.3,5536.6,830.49
2016-08-11,263,31.2,6286.28,942.94
2016-08-12,238,25.2,5782.27,867.34
2016-08-13,252,30.3,6592.53,988.88
2016-08-14,244,27.5,6083.19,912.48
2016-08-15,259,21.2,5718.48,857.77
2016-08-16,257,27.9,6194.21,929.13
2016-08-17,268,36.0,6762.16,1014.32
2016-08-18,245,29.0,6056.91,908.54
2016-08-19,249,26.7,6153.3,922.99
2016-08-20,239,31.2,6145.81,921.87
2016-08-21,247,27.6,6305.07,945.76
2016-08-22,259,27.5,6244.48,936.67
2016-08-23,265,22.2,5995.34,899.3
2016-08-24,240,27.3,6002.71,900.41
2016-08-25,267,30.4,6674.59,1001.19
2016-08-26,275,22.8,6204.97,930.75
2016-08-27,261,31.7,6641.98,996.3
2016-08-28,283,25.5,6441.72,966.26
2016-08-29,243,22.1,5719.69,857.95
2016-08-30,236,29.5,6248.86,937.33
2016-08-31,228,24.2,5635.61,845.34
2016-09-01,277,28.3,6502.78,975.42
2016-09-02,264,23.9,5996.78,899.52
2016-09-03,253,24.6,5910.55,886.58
2016-09-04,258,26.7,6081.03,912.15
2016-09-05,237,25.7,5959.67,893.95
2016-09-06,290,16.3,6441.59,966.24
2016-09-07,255,19.7,6053.17,907.97
2016-09-08,255,27.7,6038.93,905.84
2016-09-09,264,23.2,6181.99,927.3
2016-09-10,260,21.5,5882.28,882.34
2016-09-11,256,17.9,5978.11,896.72
2016-09-12,240,18.8,5584.07,837.61
2016-09-13,259,14.8,5993.4,899.01
2016-09-14,279,22.3,6176.56,926.48
2016-09-15,271,20.1,5822.81,873.42
